Ticker,Name,Market,Panel,Sector,Sub-Sector,Comment,Name(EN),Company Code(12),Ticker(4),Ticker(5),Ticker(12),Sector Code,Sub-Sector Code,Panel Code
دروز,داروسازی  روزدارو,بورس,بازار دوم بورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی,-,Rouz Darou P.,IRO1ROZD0009,ROZD,ROZD1,IRO1ROZD0001,43,4323,1
دزهراوی,داروسازی زهراوی,بورس,بازار دوم بورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی,-,Zahravi Phar.,IRO1DZAH0007,DZAH,DZAH1,IRO1DZAH0001,43,4323,1
دسبحا,گروه دارویی سبحان,بورس,بازار دوم بورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی,-,Sobhan Pharm.,IRO1DSOB0006,DSOB,DSOB1,IRO1DSOB0001,43,4323,3
دسبحان,سبحان دارو,بورس,بازار دوم بورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی,-,Sobhan Pharm,IRO1DSBH0005,DSBH,DSBH1,IRO1DSBH0001,43,4323,1
دسینا,داروسازی  سینا,بورس,بازار اول (تابلوی فرعی) بورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی,-,Sina Darou Lab.,IRO1DSIN0000,DSIN,DSIN1,IRO1DSIN0001,43,4323,3
دشیمی,شیمی  داروئی  داروپخش,بورس,بازار دوم بورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی,-,Daroupakhsh,IRO1DDPK0001,DDPK,DDPK1,IRO1DDPK0001,43,4323,1
دعبید,لابراتوارداروسازی  دکترعبیدی,بورس,بازار دوم بورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی,-,Dr. Abidi Lab.,IRO1ABDI0004,ABDI,ABDI1,IRO1ABDI0001,43,4323,1
دفارا,داروسازی  فارابی,بورس,بازار اول (تابلوی اصلی) بورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی,-,Farabi Pharm.,IRO1DFRB0008,DFRB,DFRB1,IRO1DFRB0001,43,4323,1
دفرا,فرآورده های  تزریقی  ایران,بورس,بازار دوم بورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی,-,Iran Parenteral,IRO1FTIR0003,FTIR,FTIR1,IRO1FTIR0001,43,4323,1
دکوثر,داروسازی  کوثر,بورس,بازار دوم بورس,مواد و محصولات دارویی,تولید داروهای شیمیایی و گیاهی,-,Kowsar Pharm.,IRO1DKSR0002,DKSR,DKSR1,IRO1DKSR0001,43,4323,3
