Ticker,Name,Market,Panel,Sector,Sub-Sector,Comment,Name(EN),Company Code(12),Ticker(4),Ticker(5),Ticker(12),Sector Code,Sub-Sector Code,Panel Code
وایران,لیزینگ ایرانیان,بورس,بازار دوم بورس,سایر واسطه گریهای مالی,لیزینگ مالی,-,Iranian Lizing,IRO1LIRZ0007,LIRZ,LIRZ1,IRO1LIRZ0001,58,5891,1
وبانک,سرمایه گذاری گروه توسعه ملی,بورس,بازار اول (تابلوی اصلی) بورس,شرکتهای چند رشته ای صنعتی,شرکتهای صنعتی چند رشته ای,-,Bank Melli Inv.,IRO1BANK0008,BANK,BANK1,IRO1BANK0001,39,3999,1
وبشهر,توسعه  صنایع  بهشهر(هلدینگ,بورس,بازار اول (تابلوی اصلی) بورس,محصولات غذایی و آشامیدنی به جز قند و شکر,زیر گروه سایر محصولات غذایی,-,S*Behshahr Inv.,IRO1TSBE0000,TSBE,TSBE1,IRO1TSBE0001,42,4299,1
وبصادر,بانک صادرات ایران,بورس,بازار دوم بورس,بانکها و موسسات اعتباری,سایر واسطه های پولی,-,Saderat Bank,IRO1BSDR0003,BSDR,BSDR1,IRO1BSDR0001,57,5719,3
وبملت,بانک ملت,بورس,بازار اول (تابلوی اصلی) بورس,بانکها و موسسات اعتباری,سایر واسطه های پولی,-,S*Mellat Bank,IRO1BMLT0007,BMLT,BMLT1,IRO1BMLT0001,57,5719,1
وبهمن,سرمایه گذاری بهمن,بورس,بازار اول (تابلوی اصلی) بورس,سرمایه گذاریها,سایر واسطه های مالی,-,Bahman Inv.,IRO1SBAH0008,SBAH,SBAH1,IRO1SBAH0001,56,5699,1
وبوعلی,سرمایه گذاری بوعلی,بورس,بازار اول (تابلوی فرعی) بورس,سرمایه گذاریها,سایر واسطه های مالی,-,Buali Inv.,IRO1BALI0004,BALI,BALI1,IRO1BALI0001,56,5699,3
وبیمه,سرمایه  گذاری  صنعت  بیمه,بورس,بازار دوم بورس,سرمایه گذاریها,سایر واسطه های مالی,-,Insurance Inv.,IRO1BIME0009,BIME,BIME1,IRO1BIME0001,56,5699,3
وپارس,بانک پارسیان,بورس,بازار دوم بورس,بانکها و موسسات اعتباری,سایر واسطه های پولی,-,Parsian Bank,IRO1BPAR0009,BPAR,BPAR1,IRO1BPAR0001,57,5719,3
وپاسار,بانک پاسارگاد,بورس,بازار اول (تابلوی اصلی) بورس,بانکها و موسسات اعتباری,سایر واسطه های پولی,-,S*Pasargad Bank,IRO1BPAS0008,BPAS,BPAS1,IRO1BPAS0001,57,5719,1
وپترو,سرمایه گذاری صنایع پتروشیمی,بورس,بازار اول (تابلوی اصلی) بورس,محصولات شیمیایی,تولید محصولات شیمیایی دیگر,-,Petro. Inv.,IRO1PETR0005,PETR,PETR1,IRO1PETR0001,44,4499,1
وپخش,داروپخش  (هلدینگ,بورس,بازار دوم بورس,مواد و محصولات دارویی,تولید سایر محصولات دارویی,-,Daroupakhsh,IRO1DARO0008,DARO,DARO1,IRO1DARO0001,43,4399,1
وپست,پست بانک ایران,بورس,بازار دوم بورس,بانکها و موسسات اعتباری,سایر واسطه های پولی,-,Post Bank,IRO1BPST0007,BPST,BPST1,IRO1BPST0001,57,5719,1
وتجارت,بانک تجارت,بورس,بازار دوم بورس,بانکها و موسسات اعتباری,سایر واسطه های پولی,-,S*Tejarat Bank,IRO1BTEJ0001,BTEJ,BTEJ1,IRO1BTEJ0001,57,5719,1
وتوس,توسعه شهری توس گستر,بورس,بازار دوم بورس,انبوه سازی، املاک و مستغلات,سایر فعالیت های املاک و مستغلات,-,Toosgostar Inv.,IRO1TGOS0003,TGOS,TGOS1,IRO1TGOS0001,70,7099,1
وتوسم,سرمایه گذاری توسعه ملی,بورس,بازار دوم بورس,سرمایه گذاریها,سایر واسطه های مالی,-,Tosee Melli Inv,IRO1TMEL0004,TMEL,TMEL1,IRO1TMEL0001,56,5699,1
