شیوه سرمایه‌گذاری,تاریخ به‌روز رسانی,درجه‌بندی عملکرد فصل,ضامن نقدشوندگی,ضریب بتا,ضریب آلفا,بازده یک ساله,قیمت آماری,قیمت ابطال,قیمت صدور, دوره تقسیم سود ,کل ارزش خالص دارایی‌ها ,نماد,نوع صندوق,نام صندوق,آدرس سایت
قابل معامله,1405/05/05,----,----,----,----,0,16882,16882,16963,ندارد,39733498629781,گلدا,در اوراق بهادار مبتنی بر سپرده کالایی,در اوراق بهادار مبتنی بر کالای پاداش,golda.ir
قابل معامله,1405/05/05,----,----,----,----,127.09,22709,22709,22814,ندارد,102316075732268,رز,در اوراق بهادار مبتنی بر سپرده کالایی,در اوراق بهادار مبتنی بر کالای ترنج,roz.fund
قابل معامله,1405/04/27,----,----,----,----,0,11150,11150,11202,ندارد,16320089706985,میراث,در اوراق بهادار مبتنی بر سپرده کالایی,در اوراق بهادار مبتنی بر کالای کوروش,kalafund.ir
قابل معامله,1405/05/05,----,----,0.512142,-36.821918,0,11925,11786,11887,ندارد,1727145820630,یکم,در سهام,در سهام اطلس,saham.atlasamc.ir
قابل معامله,1405/05/05,----,----,0.781581,21.85,87.85,31868,31868,32177,ندارد,2210999177929,برلیان,در سهام,در سهام برلیان,berelianfund.ir
قابل معامله,1405/05/05,----,----,0.874377,1.49,72.49,35716,35106,35431,ندارد,643434755910,پرتو,در سهام,در سهام دینا,partofund.ir
قابل معامله,1405/04/27,----,----,0.806671,3.813945,0,13301,13301,13442,ندارد,2862146385176,رادان,در سهام,در سهام راد,radanfund.ir
قابل معامله,1405/05/05,4,----,----,----,36.11,24420,24932,24965,ندارد,39814299910308,درین,در اوراق بهادار با درآمد ثابت,درین آتا,dorinfund.com
قابل معامله,1405/05/05,----,----,0.801691,22.37,89.37,19081,19081,19263,ندارد,9853999306126,دی سهام,در سهام,دی سهام,dayfund.ir
قابل معامله,1404/12/29,----,----,0.537295,-25.37,1.63,12573,12573,12574,ندارد,295333638287,رماس,در سهام,راهبرد ممتاز ابن سینا,emacofund.ir
قابل معامله,1405/05/05,----,----,----,----,51.53,18221,18277,18367,ندارد,695434913641,آفرین,مختلط,رشد آفرین سرمایه,roshdafarinfund.ir
قابل معامله,1405/05/05,----,----,0.610663,3.75,58.75,15688,15426,15581,ندارد,410320919480,رونق,در سهام,رونق کسرا,ronagh.kasra-am.ir
قابل معامله,1405/05/05,----,----,0.558215,45.48,97.48,20780,20392,20600,ندارد,976340468029,رویش همراه,در سهام,رویش همراه سرمایه,rooyeshetf.ir
قابل معامله,1405/05/05,----,----,0.614199,63,118,51283,51263,51771,ندارد,4500924900986,زرین,در سهام,زرین کوروش,zarinfunds.com
قابل معامله,1405/05/05,----,----,0.613968,21.12,76.12,36762,36595,36918,ندارد,278118582343,ثنا,در سهام,زرین نهال ثنا,zarinnahal.sanaamc.com
قابل معامله,1405/05/05,4,----,----,----,38.19,17005,17083,17097,ندارد,85415645732720,زمرد کوروش,در اوراق بهادار با درآمد ثابت,زمرد کوروش,zomorodkourosh.com
